#margin  /ˈmɑːdʒɪn/> n.边缘，范围；极限；利润，盈余；（版心外）的空白
marksman  /ˈmɑːksmən/> n.神枪手；〈美〉二等射手，轻兵器射手的最低等级；
bull  /bʊl/> n.公牛；股市看涨的人；力大如牛的人；大型雄性动物
butch  /bʊtʃ/> n.粗鲁的男人或男孩；充当男性角色的女同性恋者；
bush  /bʊʃ/> n.灌木（丛）；[机械学]（金属）衬套；[电学]（绝缘）套管；类似灌木的东西（尤指浓密的毛发或皮毛）
bud  /bʌd/> n.芽，萌芽；蓓蕾，骨朵；未成熟的人，少男少女；〈美〉刚进社交界的姑娘
buff  /bʌf/> n.米色；爱好者；黄褐色软皮革（尤指水牛皮或黄牛皮革）；黄皮军装上衣
buck  /bʌk/> n.（美）钱，元；雄鹿；花花公子；
bulge  /bʌldʒ/> n.膨胀；凸出部分；暴涨，突增；
bulk  /bʌlk/> n.（大）体积；大块，大量；大多数，大部分；主体
#ado  /əˈduː/> n.指代「麻烦」和「阻碍」，用于成语「无事生非」（much ado about nothing）、「立即]（without further ado）；
#seawater  /ˈsiːwɔːtə/> n.海水；海流；
seizing  /ˈsiːzɪŋ/> n.抓；夺；捆绑；扣押
#seagull  /ˈsiːɡʌl/> n.海鸥；
#seashore  /ˈsiːʃɔː/> n.海岸，海滨；
seizure  /ˈsiːʒə/> n.没收；夺取；捕捉；突然发作
pseudonym  /ˈsjuːdənɪm/> n.假名，化名，（尤指）笔名；
pseudo  /ˈsjuːdəʊ/> n.[口]假冒的人，伪君子；
scabbard  /ˈskabəd/> n.鞘；
scaffold  /ˈskafəʊld | ˈskaf(ə)ld/> n.脚手架；断头台；
scallywag  /ˈskalɪwaɡ/> n.饭桶，无赖汉；
scammer  /ˈskamə/> n.[美俚]骗子，诈骗犯；
scantling  /ˈskantlɪŋ/> n.一点点，少量；
scatter  /ˈskatə/> n.撒布，散播；
scattergun  /ˈskatəɡʌn/> n.猎枪，机关枪；
scavenger  /ˈskavɪn(d)ʒə/> n.捡破烂的人，清扫工；食腐动物；
scoundrel  /ˈskaʊndr(ə)l/> n.恶棍，坏蛋；
scour  /ˈskaʊə/> n.擦；冲刷；洗涤剂；
scapegrace  /ˈskeɪpɡreɪs/> n.不可救药的恶棍，饭桶；
scapegoat  /ˈskeɪpɡəʊt/> n.代人受过的人，替罪羊；替身；
skating  /ˈskeɪtɪŋ/> n.溜冰；如履薄冰；身处险境；冒着危险
schema  /ˈskiːmə/> n.概要，计划，图表；
scuba  /ˈskjuːbə | ˈskuːbə/> n.水肺，便携式水下呼吸器；
skewer  /ˈskjuːə/> n.串肉杆；烤肉叉子；叉状物；针状物
scramble  /ˈskramb(ə)l/> n.攀登；抢夺；混乱；[航]紧急起飞
screwball  /ˈskruːbɔːl/> n.曲线球，怪人，略带神经病的人；
scruple  /ˈskruːp(ə)l/> n.良心上的不安；顾虑，顾忌；
scrutiny  /ˈskruːtɪni/> n.细看，细阅；仔细的观察；监督；
scribbler  /ˈskrɪblə/> n.潦草写字的人，三流作家，小文人；
scrimmage  /ˈskrɪmɪdʒ/> n.&v.混战，并列争球；
scripture  /ˈskrɪptʃə/> n.经文，圣典；文稿；
scrivener  /ˈskrɪv(ə)nə/> n.公证人，代笔人；
schoolbook  /ˈskuːlbʊk/> n.教科书；
schoolhouse  /ˈskuːlhaʊs/> n.（尤指乡村学校的）校舍；
schoolmate  /ˈskuːlmeɪt/> n.同学，校友；
schoolmaster  /ˈskuːlmɑːstə/> n.男教师，男教员；教导着，教育者；校长；
schoolroom  /ˈskuːlrʊm | ˈskuːlruːm/> n.教室；（小村庄里只有一间教室的）学堂；
schoolchild  /ˈskuːltʃʌɪld/> n.学童；
schooner  /ˈskuːnə/> n.（有两个以上桅杆的）纵帆船；
squeaker  /ˈskwiːkə/> n.发出短促刺耳声的人（或物），雏鸽；
nous  /naʊs/> n.理智；
venison  /ˈvɛnɪz(ə)n | ˈvɛnɪs(ə)n/> n.鹿肉；
nod  /nɒd/> vt.点头示意；使弯曲，使屈服；点头答应；
nod  /nɒd/> n.（表示同意的）点头，（打瞌睡的）点头；
mare  /ˈmɑːri | ˈmɑːreɪ | mɛː/> n.雌马（也引申为女人）；噩梦（nightmare）；月球表面的暗区（月面盘地）；
velvet  /ˈvɛlvɪt/> n.丝绒，天鹅绒；鹿茸；
venter  /ˈvɛntə/> n.腹部；子宫；
leeway  /ˈliːweɪ/> n.（航行由于强风所致的）偏航；余地（margin of safety）；
scapegoat  /ˈskeɪpɡəʊt/> n.替罪羊（又称代罪羔羊）；
believer  /bɪˈliːvə/> n.信徒；
fertilizer  /ˈfəːtɪlʌɪzə/> n.肥料，化肥；受精媒介物；促进发展者；
fervour  /ˈfəːvə/> n.热烈，热情；
furtherance  /ˈfəːð(ə)r(ə)ns/> n.促进；
feldspar  /ˈfɛldspɑː/> n.长石；
fella  /ˈfɛlə/> n.伙伴，伙计；小伙子；
veracity  /vəˈrasɪti/> n.诚实，真实；
verruca  /vəˈruːkə/> n.疣，赘肉；
variety  /vəˈrʌɪəti/> n.多样；种类；杂耍；变化，多样化
verge  /vəːdʒ/> n.边，边缘；界限；范围；起始点
verse  /vəːs/> n.诗，韵文；诗节，诗行；诗篇；圣经中的节
versatility  /vəːsəˈtɪlɪti/> n.多才多艺；多用途；可转动性；易变
verve  /vəːv/> n.热情；（艺术品等的）气韵，神韵；生气，活力；气魄
verbena  /vəːˈbiːnə/> n.马鞭草属植物；
veg  /vɛdʒ/> n.蔬菜；〈口〉同“vegetable.Adinnerwithtwoveg”；
vegetation  /vɛdʒɪˈteɪʃ(ə)n/> n.植物（总称），草木；[医]赘生物，增殖体；无所作为的生活，单调的生活；[植]营养体生长，发育
vexation  /vɛkˈseɪʃ(ə)n/> n.烦恼；恼火；苦恼的原因；使人恼怒或忧虑的事
veld  /vɛlt/> n.（南非洲的）草原；
vent  /vɛnt/> n.通风孔；排气孔；（感情等的）发泄，吐露；（鸟，虫，鱼的）肛门
canna  /ˈkanə/> n.美人蕉科；
cannabis  /ˈkanəbɪs/> n.[植]大麻；大麻制品；大麻雌花顶部；
cannonball  /ˈkanənbɔːl/> n.炮弹；
canopy  /ˈkanəpi/> n.天篷，华盖；[建]顶篷，顶盖；苍穹；树荫
cannibal  /ˈkanɪb(ə)l/> n.食人者；同类相食的动物；
cannibalism  /ˈkanɪbəˌlɪz(ə)m/> n.吃人肉，同类相食；
canid  /ˈkanɪd/> n.犬科动物（包括家犬、狼、狐等）；
canister  /ˈkanɪstə/> n.（通常为金属的）小罐（装茶叶、咖啡等）；霰弹筒；滤毒罐；
capriole  /ˈkaprɪəʊl/> n.跳跃，雀跃；（马的）腾跃；
capsule  /ˈkapsjuːl | ˈkapsjʊl/> n.胶囊；航天舱；（植物的）荚；小容器
capstan  /ˈkapst(ə)n/> n.绞盘，起锚机；
capstone  /ˈkapstəʊn/> n.顶石；压顶石；顶点；（尤指成就的）顶点
capsicum  /ˈkapsɪkəm/> n.辣椒属植物；柿子椒，灯笼椒；
captor  /ˈkaptə/> n.捕捉者，捕手；俘虏者；攻夺者；捕捉船
captive  /ˈkaptɪv/> n.战俘，俘虏；被（爱情等）迷住的人；自保公司；
capitalist  /ˈkapɪt(ə)lɪst/> n.资本家；资本主义者；有钱人，财主；
caption  /ˈkapʃ(ə)n/> n.标题，说明文字，字幕；字幕；第三档；
capuchin  /ˈkapʊtʃɪn/> n.（天主教的）圣方济会托钵僧；嘉布遣斗篷；僧帽猴；
carol  /ˈkar(ə)l/> n.圣诞之歌，（宗教）颂歌；卡罗尔舞蹈；
carrel  /ˈkar(ə)l/> n.（图书馆内备有书桌供一人用的）小单间；
carom  /ˈkarəm/> n.连撞两球，连击；
carapace  /ˈkarəpeɪs/> n.（龟、蟹等的）硬壳；
carrot  /ˈkarət/> n.胡萝卜；〈非正式〉好处，回报；不能兑现的报酬；
caribou  /ˈkarɪbuː/> n.（北美洲产的）驯鹿；
carriage  /ˈkarɪdʒ/> n.运输，输送；（旧时载客的）四轮马车；〈英〉火车客车车厢；运费
caricature  /ˈkarɪkətʃɔː | ˈkarɪkətjʊə/> n.漫画，讽刺画；漫画手法；夸张讽刺的描绘；滑稽可笑的模仿
carrion  /ˈkarɪən/> n.动物尸体的腐肉；污秽的东西；
cassock  /ˈkasək/> n.（教士穿的黑色或红色的）长袍；
cattleman  /ˈkat(ə)lmən/> n.牧场主人，牧牛者；
catalogue  /ˈkat(ə)lɒɡ/> n.目录，一览表；（美）大学情况便览；展览目录；产品样本
catalyst  /ˈkat(ə)lɪst/> n.触媒，催化剂；〈比喻〉触发因素；促进因素；〈口〉有感染力的人
cathouse  /ˈkathəʊs/> n.妓院；
catnap  /ˈkatnap/> n.小睡，小憩；
katzenjammer  /ˈkatzənˌdʒamə/> n.头痛；滑稽的模仿；喧闹；沮丧
catacomb  /ˈkatəkəʊm | ˈkatəkuːm/> n.地下墓穴，茔窟（常用复数）；
catamount  /ˈkatəmaʊnt/> n.山猫；美洲豹；野猫；猫科动物
cataplasm  /ˈkatəplaz(ə)m/> n.糊剂；
caterpillar  /ˈkatəpɪlə/> n.毛虫；履带；履带拖拉机；
catapult  /ˈkatəpʌlt/> n.弹弓；石弩；飞机弹射器；弹射座椅
cataract  /ˈkatərakt/> n.大瀑布，急瀑布；[医]白内障；暴雨，洪水；奔流
caterwaul  /ˈkatəwɔːl/> n.猫叫春声，刺耳的尖叫声；
category  /ˈkatəɡ(ə)ri/> n.类型，部门，种类，类别，类目；[逻，哲]范畴；体重等级；
cataclysm  /ˈkatəˌklɪz(ə)m/> n.（突然降临的）大灾难；
catgut  /ˈkatɡʌt/> n.（羊）肠线；
catechism  /ˈkatɪkɪz(ə)m/> n.教义问答（手册）；一系列提问；
catchment  /ˈkatʃm(ə)nt/> n.集水，集水处（水库或集水盆地）；
catchword  /ˈkatʃwəːd/> n.口号，流行语，（字典等每页上端的）标字；渡字；
catcher  /ˈkatʃə/> n.捕手，捕捉器；接球手；收集器；[化]接受器
cavil  /ˈkav(ə)l/> n.吹毛求疵的意见；
cavalcade  /ˈkav(ə)lkeɪd | ˌkav(ə)lˈkeɪd/> n.骑马队伍，车队；
cavern  /ˈkav(ə)n/> n.大山洞；凹处；
caveat  /ˈkavɪat/> n.警告，附加说明；
cavity  /ˈkavɪti/> n.腔，洞；蛀牙，龋洞；
chasm  /ˈkaz(ə)m/> n.峡谷；裂缝，断层；裂口；（感情等的）分歧
casuist  /ˈkazjʊɪst | ˈkaʒjʊɪst/> n.决疑者，诡辩家；
canker  /ˈkaŋkə/> n.（植物的）溃疡；（动物）耳溃疡；腐败的影响；腐蚀因素
cachet  /ˈkaʃeɪ/> n.特征；威信；（显示优越的）标志；扁囊药剂
cashmere  /ˈkaʃmɪə | kaʃˈmɪə/> n.开司米，山羊绒；开士米羊毛织品；
cowhand  /ˈkaʊhand/> n.（牧场的）牧牛工；
cowherd  /ˈkaʊhəːd/> n.牧牛者；牛倌；牧童；
cowcatcher  /ˈkaʊkatʃə/> n.排障器，广告；
cowling  /ˈkaʊlɪŋ/> n.飞机引擎罩；
cowman  /ˈkaʊmən/> n.牧牛人，牧牛工；
council  /ˈkaʊns(ə)l/> n.委员会；（郡、镇等）政务会；（尤指旧时讨论特定步骤的）协商会议；市政（或地方管理）服务机构
counsel  /ˈkaʊns(ə)l/> n.协商，讨论；建议；策略；法律顾问，辩护人
councillor  /ˈkaʊns(ə)lə/> n.政务会委员，议员；地方议员；
counsellor  /ˈkaʊns(ə)lə/> n.顾问，参事；辅导员；法律顾问，律师；（儿童夏令营等中的）领队
counselling  /ˈkaʊns(ə)lɪŋ/> n.（尤指行家的）意见；
countenance  /ˈkaʊnt(ə)nəns/> n.表情；脸，面孔；赞同，支持；鼓励
counter  /ˈkaʊntə/> n.柜台；对立面；计数器；（某些棋盘游戏的）筹码
counterfeit  /ˈkaʊntəfiːt | ˈkaʊntəfɪt/> n.仿制品，伪造物；肖像，画像；
counterfoil  /ˈkaʊntəfɔɪl/> n.（支票、票据等的）存根，票根；
countermine  /ˈkaʊntəmʌɪn/> n.反地道，对抗计划；
counterpane  /ˈkaʊntəpeɪn/> n.床单，床罩；
counterpart  /ˈkaʊntəpɑːt/> n.配对物；副本；相对物；极相似的人或物
counterpoint  /ˈkaʊntəpɔɪnt/> n.对位法，旋律配合，对应物；
counterpoise  /ˈkaʊntəpɔɪz/> n.秤锤，平衡；
counterpunch  /ˈkaʊntəpʌn(t)ʃ/> n.反击，回击，（拳击的）迎击；
counterspy  /ˈkaʊntəspʌɪ/> n.反间谍；
countercheck  /ˈkaʊntətʃɛk/> n.阻挡，对抗方法，妨碍；
counterweight  /ˈkaʊntəweɪt/> n.平衡物，称锤，平衡力；
countercurrent  /ˈkaʊntəˌkʌrənt/> n.逆流，反向电流；
cowpoke  /ˈkaʊpəʊk/> n.牧牛工，牛仔；
cowpuncher  /ˈkaʊpʌntʃə/> n.牛仔；
cowslip  /ˈkaʊslɪp/> n.黄花九轮草；
caoutchouc  /ˈkaʊtʃʊk/> n.弹性橡皮，生橡胶，天然橡胶；
coward  /ˈkaʊəd/> n.胆小鬼，懦夫；
cowardice  /ˈkaʊədɪs/> n.懦弱，胆怯；
casual  /ˈkaʒjʊəl/> n.临时工人；[军]待命士兵；没有固定工作的劳动者；不定期领取救济金的人
casualty  /ˈkaʒjʊəlti/> n.伤亡（人数）；事故，横祸；受害者，死伤者；损坏
casuistry  /ˈkaʒjʊɪstri | ˈkazjʊɪstri/> n.决疑法，决疑论，诡辩；
cathode  /ˈkaθəʊd/> n.(-)阴极，负极；
cablegram  /ˈkeɪb(ə)lɡram/> n.海底电信；海外电报；
cadence  /ˈkeɪd(ə)ns/> n.（声音的）抑扬顿挫；节奏；韵律；调子
cadency  /ˈkeɪd(ə)nsi/> n.有节奏的调子，幼子的后裔；
calyx  /ˈkeɪlɪks | ˈkalɪks/> n.花萼；盏；盂；杯状部（或腔）
canine  /ˈkeɪnʌɪn | ˈkanʌɪn/> n.犬齿；犬牙；犬科动物；
caper  /ˈkeɪpə/> n.雀跃，跳跃；[植]续随子，刺山柑花蕾；嬉戏；不法活动
caisson  /ˈkeɪs(ə)n | kəˈsuːn/> n.（水下作业用的）沉箱；藻井；沉雷箱；
casebook  /ˈkeɪsbʊk/> n.个案记录簿；
casement  /ˈkeɪsm(ə)nt/> n.窗扉；
casing  /ˈkeɪsɪŋ/> n.框；壳；罩；套
keyhole  /ˈkiːhəʊl/> n.锁眼，钥匙孔；
keenness  /ˈkiːnnəs/> n.敏锐；
keynote  /ˈkiːnəʊt/> n.主旨，基调；主音；
keepsake  /ˈkiːpseɪk/> n.纪念品；
keeping  /ˈkiːpɪŋ/> n.遵守；一致；（与…）协调；保管
keister  /ˈkiːstə/> n.小提包，手提皮箱，屁股；
keystone  /ˈkiːstəʊn/> n.重点；要旨；基本原理；拱心石
kiosk  /ˈkiːɒsk/> n.亭子，凉亭；（车站、广场等处的）书报摊，，公共电话亭；小摊棚，售货亭；
cubic  /ˈkjuːbɪk/> n.[数]三次曲线（方程式，多项式，函数）；
cubicle  /ˈkjuːbɪk(ə)l/> n.小卧室，斗室；
cubit  /ˈkjuːbɪt/> n.腕尺；
cubitus  /ˈkjuːbɪtəs/> n.前臂，尺骨，[昆]肘脉；
kudos  /ˈkjuːdɒs/> n.荣誉，光荣，赞誉；
cucumber  /ˈkjuːkʌmbə/> n.黄瓜，胡瓜；
cumulus  /ˈkjuːmjʊləs/> n.积云；
cuneus  /ˈkjuːniəs/> n.楔片（半翅目的前翅）；
cupola  /ˈkjuːpələ/> n.炮塔；
cuticle  /ˈkjuːtɪk(ə)l/> n.（手指甲或脚趾甲根部的）外皮；
cutis  /ˈkjuːtɪs/> n.（脊椎动物的）皮肤，真皮，表皮；
curate  /ˈkjʊərət | kjʊ(ə)ˈreɪt/> n.〈英〉副牧师，教区牧师；〈谑〉拨火棍；
curative  /ˈkjʊərətɪv/> n.药品；
curio  /ˈkjʊərɪəʊ/> n.小件珍奇物品；
clabber  /ˈklabə/> n.凝结的酸牛奶，发酵奶，凝乳；
cladding  /ˈkladɪŋ/> n.覆层；
clamber  /ˈklambə/> n.困难的或麻烦的攀登；
clamour  /ˈklamə/> n.喧哗声，喧闹；大声的要求或抗议；
clamshell  /ˈklamʃɛl/> n.蛤壳；蛤壳式物品；抓斗；蚌壳
claptrap  /ˈklaptrap/> n.讨好的言语或行为；
clapper  /ˈklapə/> n.飞快地；拍板；铃锤；拍手者
claret  /ˈklarət/> n.红葡萄酒；深红色；〈美俚〉血；
clatter  /ˈklatə/> n.哗啦声；嘁嘁喳喳的谈笑声；咔哒声；
clangour  /ˈklaŋɡə/> n.（尤指连续的）铿锵声，叮当声；
cleavage  /ˈkliːvɪdʒ/> n.分裂；[胚]卵裂；乳沟；
cliche  /ˈkliːʃeɪ/> n.陈词滥调；
clodhopper  /ˈklɒdhɒpə/> n.庄稼汉，乡巴佬；
closet  /ˈklɒzɪt/> n.壁橱；盥洗室；议事室，密室；贮藏室
cloister  /ˈklɔɪstə/> n.（学院、修道院、教堂等建筑的）走廊；回廊；修道院的生活；隐居
clochard  /ˈklɔʃɑː | klɔʃaʀ/> n.钟楼；
chlorine  /ˈklɔːriːn/> n.[化]氯；
chloride  /ˈklɔːrʌɪd/> n.氯化物；〈口〉漂白粉；
closeness  /ˈkləʊsnəs/> n.亲密；密闭；严密；接近
cloture  /ˈkləʊtjʊə/> n.讨论终结；
clover  /ˈkləʊvə/> n.三叶草；生活舒适而富裕；养尊处优；生活优裕
clergy  /ˈkləːdʒi/> n.（尤指基督教堂内的）牧师，教士；〈废〉学问；
clergyman  /ˈkləːdʒɪmən/> n.牧师；教士；
clemency  /ˈklɛmənsi/> n.宽容，仁慈；（尤指气候等）温和；
cleanliness  /ˈklɛnlɪnəs/> n.清洁，干净；
cleanser  /ˈklɛnzə/> n.清洁剂；清洁工；擦亮粉，去污粉；清洁器
cleric  /ˈklɛrɪk/> n.牧师；神职人员；
clincher  /ˈklɪn(t)ʃə/> n.敲弯钉头的工具，紧钳，夹子；
clinic  /ˈklɪnɪk/> n.诊所，门诊部；特殊病例分析；临床讲授；临床实习课
clipping  /ˈklɪpɪŋ/> n.剪下物；剪报；剪辑；零头衣料
clitoris  /ˈklɪt(ə)rɪs/> n.阴核，阴蒂；
clinker  /ˈklɪŋkə/> n.煤渣；炉渣；煤渣块；错误的音符
dishonesty  /dɪsˈɒnɪsti/> n.不正直，不诚实；狡猾，阴险；不诚实的行为；欺诈
disorder  /dɪsˈɔːdə/> n.混乱，凌乱；动乱，骚乱；不正当行为；（身心机能的）失调
disgrace  /dɪsˈɡreɪs/> n.丢脸；耻辱；不光彩；丢脸的人（或事）
disgust  /dɪsˈɡʌst/> n.反感，厌恶，嫌恶；
disguise  /dɪsˈɡʌɪz/> n.伪装；伪装品；用作伪装的东西；托辞，借口
disinterest  /dɪsˈɪnt(ə)rɪst/> n.无兴趣；不关心；冷漠；客观
disapprobation  /dɪsˌaprəˈbeɪʃ(ə)n/> n.不答应，非难，不赞成；
disintegration  /dɪsˌɪntɪˈɡreɪʃ(ə)n/> n.瓦解；崩溃；裂变；蜕变
ditch  /dɪtʃ/> n.沟渠；壕沟；
ding  /dɪŋ/> n.钟声；
debauchery  /dɪˈbɔːtʃ(ə)ri/> n.道德败坏；淫荡；放荡；淫逸
debility  /dɪˈbɪlɪti/> n.衰弱；
deduction  /dɪˈdʌkʃ(ə)n/> n.推演，推理，演绎；（推理所得出的）结论；扣除，减除；扣除的量
digestion  /dɪˈdʒɛstʃ(ə)n | dʌɪˈdʒɛstʃ(ə)n/> n.消化，领悟；消化能力；细菌分解；（精神上的）同化吸收，融会贯通
deflection  /dɪˈflɛkʃ(ə)n/> n.偏斜，偏移，歪曲；偏斜度，偏角；
diffraction  /dɪˈfrakʃn/> n.衍射，宽龟裂状的；
default  /dɪˈfɔːlt | ˈdiːfɔːlt/> n.未履行，拖欠；[法]未到庭；弃权；[计]缺省，默认
deformity  /dɪˈfɔːmɪti/> n.畸形的人（或物）；畸形状态；（道德等方面的）缺陷；畸形（或残缺）的部分
deferment  /dɪˈfəːm(ə)nt/> n.迁延，延期，暂缓；
deferral  /dɪˈfəːr(ə)l/> n.延期，缓役；
defector  /dɪˈfɛktə/> n.逃兵，背叛者；
defection  /dɪˈfɛkʃn/> n.（对国家、事业等的）背叛；
defendant  /dɪˈfɛnd(ə)nt/> n.[法]被告人；
defender  /dɪˈfɛndə/> n.防御者，守卫者；辩护人；拥护者；卫冕者
defence  /dɪˈfɛns/> n.辩护；防御；防御工事；后卫
definitive  /dɪˈfɪnɪtɪv/> n.限定词；
deficiency  /dɪˈfɪʃ(ə)nsi/> n.缺乏，不足；缺点，缺陷；不足额；
defile  /dɪˈfʌɪl | ˈdiːfʌɪl/> n.峡谷，隘路；
defilement  /dɪˈfʌɪlm(ə)nt/> n.弄脏，污辱，污秽；
defiance  /dɪˈfʌɪəns/> n.蔑视；挑战；反抗；
decay  /dɪˈkeɪ/> n.腐败、衰退的状态；
declension  /dɪˈklɛnʃ(ə)n/> n.词尾变化；格变化；倾斜；衰退
declarer  /dɪˈklɛːrə/> n.宣言者，申报者；
declivity  /dɪˈklɪvɪti/> n.斜坡；坡度；下斜；
decline  /dɪˈklʌɪn/> n.下降；（力量、健康、品格、权力、价值等的）衰退；下倾；（人、生命等的）衰退期
decree  /dɪˈkriː/> n.法令，命令；（法院的）判决，裁定；（教会的）教令；
decrepitude  /dɪˈkrɛpɪtjuːd | dɪˈkrɛpɪtʃuːd/> n.衰老，老朽；
decoction  /dɪˈkɒkʃ(ə)n/> n.煎煮，煮出的汁，煎熬的药；煎法；熬出物；汤液
decoy  /dɪˈkɔɪ | ˈdiːkɔɪ/> n.诱饵，诱鸟；圈套；诱捕；
decorum  /dɪˈkɔːrəm/> n.端庄得体；体统；
dilemma  /dɪˈlɛmə | dʌɪˈlɛmə/> n.窘境，困境；进退两难；
demesne  /dɪˈmiːn | dɪˈmeɪn/> n.领地，地产；占有（土地）；
democracy  /dɪˈmɒkrəsi/> n.民众；民主国家；民主主义；民主政治
demonstrative  /dɪˈmɒnstrətɪv/> n.指示词；
demotic  /dɪˈmɒtɪk/> n.（古埃及）通俗文字；
demoniac  /dɪˈməʊnɪak/> n.着魔的人；
demur  /dɪˈməː/> n.反对，异议；
demurral  /dɪˈməːr(ə)l/> n.异议，抗议，反对；
demurrer  /dɪˈməːrə/> n.异议；抗辩；
diminutive  /dɪˈmɪnjʊtɪv/> n.极小的人[物]；爱称，昵称；指小词；
demise  /dɪˈmʌɪz/> n.死亡；（不动产的）转让；让位；
dinero  /dɪˈnɛːrəʊ/> n.钱；
denial  /dɪˈnʌɪ(ə)l/> n.否认，否定；克制；拒绝，拒绝接受；
diplomacy  /dɪˈpləʊməsi/> n.外交；外交手腕，交际手段；外交使团；处世之道
depravity  /dɪˈpravɪti/> n.堕落；腐败；恶行；堕落腐化的行为
depressant  /dɪˈprɛs(ə)nt/> n.镇静剂；
depressive  /dɪˈprɛsɪv/> n.[精神分析学]抑郁症患者；
depression  /dɪˈprɛʃ(ə)n/> n.萎靡不振，沮丧；下陷处，坑；衰弱；减缓
deposit  /dɪˈpɒzɪt/> n.储蓄，存款；保证金；沉淀物；寄存，寄存品
depositary  /dɪˈpɒzɪt(ə)ri/> n.保管人；受托人；受托公司；存放处
depository  /dɪˈpɒzɪt(ə)ri/> n.存放处；
deportment  /dɪˈpɔːtm(ə)nt/> n.举止，风度，仪态；概；器宇；
dependency  /dɪˈpɛnd(ə)nsi/> n.属国，属地；从属，从属物；
dependant  /dɪˈpɛnd(ə)nt/> n.家眷，侍从，食客；受赡养者；寄人篱下的仆从；
depiction  /dɪˈpɪkʃn/> n.描写，叙述；
derivative  /dɪˈrɪvətɪv/> n.[数]导数，微商；[化]衍生物，派生物；[语]派生词；
derision  /dɪˈrɪʒ(ə)n/> n.嘲笑，嘲弄；笑柄；
deceased  /dɪˈsiːst/> n.死者；
deceit  /dɪˈsiːt/> n.欺骗，欺诈；诡计；谎言；
discretion  /dɪˈskrɛʃ(ə)n/> n.慎重；考虑周到；判断力，辨别力；自行决定的自由
descriptor  /dɪˈskrɪptə/> n.描述符；
discard  /dɪˈskɑːd | ˈdɪskɑːd/> n.被抛弃的人[物]；丢弃，抛弃；打出的牌；打出的牌
discoverer  /dɪˈskʌv(ə)rə/> n.发现者；
disparager  /dɪˈsparɪdʒə/> n.毁谤者，贬损者；
disparity  /dɪˈsparɪti/> n.不同；不等；不一致；悬殊
dispatch  /dɪˈspatʃ/> n.（使者等的）派遣；急件；迅速办理，快速处理；（记者发回的）新闻报道
dispatcher  /dɪˈspatʃə/> n.发报机；收发；调度；
despondency  /dɪˈspɒnd(ə)nsi/> n.失去勇气，失望；
disposal  /dɪˈspəʊz(ə)l/> n.（事情的）处置；（自由）处置权；清理；排列
disposable  /dɪˈspəʊzəb(ə)l/> n.〈美口〉使用后随即抛掉的东西（尤指容器等）；
dispersal  /dɪˈspəːs(ə)l/> n.散布；分散；消散；驱散
dispersion  /dɪˈspəːʃ(ə)n/> n.散布；驱散；离差；差量
stumblebum  /ˈstʌmb(ə)lbʌm/> n.笨手笨脚的人；无能力的人；街头流浪汉；穷酒鬼
stunner  /ˈstʌnə/> n.把人打昏的人，绝妙的东西，出色的人；
stutter  /ˈstʌtə/> n.结巴；口吃；
stifle  /ˈstʌɪf(ə)l/> n.后腿膝关节；后膝关节病；
stylus  /ˈstʌɪləs/> n.（留声机的）唱针；（古代刻写用的）尖笔；
stylist  /ˈstʌɪlɪst/> n.发型师；文体家；造型设计师；
stipend  /ˈstʌɪpɛnd/> n.（尤指牧师的）薪俸；
soupcon  /ˈsuːpsɒn | ˈsuːpsɒ̃/> n.少许，些微；
superhighway  /ˈsuːpəhʌɪweɪ/> n.信息高速公路；
superpower  /ˈsuːpəpaʊə/> n.超级大国；超级强权；超等的巨大力量；超国家政治实体（指管强国的国际组织）
superscript  /ˈsuːpəskrɪpt/> n.上角文字，上标；
superstructure  /ˈsuːpəstrʌktʃə/> n.上部结构，上层建筑；（建筑物、船等的）上面部分；
superstar  /ˈsuːpəstɑː/> n.超级明星；[天]超星体；巨星；
supergrass  /ˈsuːpəɡrɑːs/> n.向警方提供大量罪犯活动情报的人（尤指本人也是罪犯的人）；
suitcase  /ˈsuːtkeɪs/> n.手提箱；衣箱；
suzerain  /ˈsuːzəreɪn/> n.领主；庄主；宗主；国群主
suzerainty  /ˈsuːzərənti | ˈsuːzəreɪnti/> n.宗主权；封建主的地位（或权力）；
sewer  /ˈsuːə/> n.阴沟，污水管，下水道；裁缝师；
sewerage  /ˈsuːərɪdʒ/> n.污物处理（系统）；
sewage  /ˈsuːɪdʒ/> n.（下水道里的）污物；下水道；污水；
soothsayer  /ˈsuːθseɪə/> n.占卜者，预言家；
swaggie  /ˈswaɡi/> n.狂妄自大者，大摇大摆，吹牛；
swagman  /ˈswaɡman/> n.流浪汉，收买赃货的人；
swagger  /ˈswaɡə/> n.昂首阔步；吹嘘，自大；
suasion  /ˈsweɪʒ(ə)n/> n.说服，劝告；
sweeping  /ˈswiːpɪŋ/> n.扫除；(pl.)垃圾；
sweetie  /ˈswiːti/> n.（儿语或用于对儿童说话时）糖果；（用于称呼自己喜欢或所爱的人）亲爱的；好心人；热心肠的人
sweetness  /ˈswiːtnəs/> n.甜蜜；美妙；芳香；可爱
suavity  /ˈswɑːvɪti/> n.柔和，愉快，温和；
swampland  /ˈswɒmpland/> n.沼泽地；
swashbuckler  /ˈswɒʃbʌklə/> n.流氓，恃强凌弱者，（描写暴徒或冒险家经历的）霸道小说；
swelter  /ˈswɛltə/> n.热得难受，闷热；
